"pmw1","pmw2","pmw3","pmw4","pmw5","pmw6","pmw7","pmw8","pmw9","pmw10","pmw11","pmw12","pmw13","pmw14","pmw15","pmw16","pmw17","pmw18","pmw19","pmw20","pmw21","pmw22","pmw23","pmw24","pmw25","pmw26","pmw27","pmw28","pmw29","pmw30","pmw31","pmw32","pmw33","pmw34","pmw35","pmw36","pmw37"
6.863583276,10.0319117,9.560332342,7.073841643,11.60288007,7.423814418,9.457288674,4.708405636,6.796753693,6.961419449,5.23304972,9.550335031,9.587556926,14.14025422,5.908586036,9.057900561,19.37755769,11.06981759,17.73850993,16.56236195,15.52148264,13.25897419,13.4268662,8.461430881,9.849414943,7.3426376,5.187629534,9.945003288,5.315519612,9.433887638,7.498558035,8.837542373,8.028072931,7.609226146,4.734866363,8.98323192,12.69482119
9.327740219,8.959606352,6.752299443,6.549999891,7.681682311,6.0760905,10.01204692,17.32743433,11.71241298,6.684995716,19.94147761,13.05716455,23.00824629,17.93128636,20.18268868,13.49780777,18.19672933,14.02819305,9.86722611,9.917709577,6.570854621,6.110983024,10.49679124,9.897595945,9.621823283,8.086643656,10.30150708,8.367403497,8.380430073,4.996089284,16.52622053,9.130119668,8.846791338,15.70544781,12.76996598,14.47124714,15.87915018
7.471149491,13.30877303,8.767329007,10.37540938,4.905330791,7.912900987,7.269733028,5.616565932,11.22230208,12.3212932,15.54640599,6.788862383,14.56432872,18.7210439,17.46917168,18.29920727,19.42272069,17.54572557,16.74928737,15.01254692,9.628225685,12.1349259,7.274950653,5.766235416,11.28491216,6.605718473,12.24273588,7.011956756,9.988716582,8.998973986,9.372472956,4.132515041,13.00419777,13.42360086,8.086063006,10.80050215,17.1461231
9.368356029,11.16888512,10.65391809,6.890252992,7.428556185,6.664123851,6.800302171,9.474500714,7.813634013,20.91300797,7.016750414,9.232566724,20.70139665,12.32007822,24.50287753,18.9113694,16.6993742,16.57062297,17.90574093,11.24940799,9.722310371,9.473438675,5.974412569,6.93904154,9.689391963,9.832683293,10.63068543,9.761669009,8.436995686,8.621989056,6.281661737,9.117238684,13.63887665,10.10821285,8.590905035,19.60371907,10.95682381
10.19768708,14.38580352,9.333928907,9.168390305,18.40683088,11.97238113,17.59528472,11.71129567,9.769003345,9.58344458,7.430116433,8.481821258,10.01936512,15.20532346,9.060635191,9.138580005,12.00969224,11.86695867,8.421316007,13.86357586,8.943446622,7.036357845,6.441186407,6.785327182,6.140760022,10.34471069,6.056832339,7.089876704,8.858549476,14.6160637,16.07773976,11.213822,8.743172716,10.35114456,19.47178226,9.302862164,16.40529989
17.15314977,9.137739299,12.60543021,12.87809037,9.192328967,14.97328493,17.16460995,8.474484338,8.841050333,13.50375497,7.246809504,9.368356029,11.16888512,10.65391809,6.890252992,7.428556185,6.664123851,6.800302171,9.474500714,7.813634013,20.91300797,7.016750414,9.232566724,20.70139665,12.32007822,24.50287753,18.9113694,16.6993742,16.57062297,17.90574093,11.24940799,9.722310371,9.473438675,5.974412569,6.93904154,9.689391963,9.832683293
9.972095126,5.412055894,7.466519565,8.996879346,15.63349937,15.81299431,10.78661944,9.647189593,8.979239171,19.18178956,10.70628203,17.63493958,13.62319512,11.68244293,16.91649548,12.50703999,10.78209462,11.03239434,9.0648393,10.87438243,6.84655496,11.5973163,11.68877559,13.16618962,6.919383985,10.96816245,7.906696309,9.852111508,10.82975548,13.24763555,13.48531707,9.587631417,13.08055592,11.98646801,16.42764367,13.03033403,15.0390935
11.0819324,10.04637999,10.94764674,9.79864736,17.70539189,14.18768657,14.59759323,8.042810373,10.812738,9.288299098,9.38914337,10.28338895,13.23173909,9.313410807,7.969699048,11.79277133,6.381796464,7.321671359,10.0682736,8.537270989,6.835013435,6.287699685,6.131380171,6.601429454,6.37220944,7.471411816,14.87953582,8.385040067,6.932982733,15.10552405,11.62820601,19.65721637,15.26826203,13.05309687,11.58728567,14.7200305,9.717858304
11.03399055,9.418796445,12.93147162,10.44464698,8.237826296,15.24303924,7.949066221,8.460467749,6.049899258,6.76651716,5.61233843,9.66042052,7.325003698,6.975590089,9.594156644,8.016320665,17.20812545,13.096587,10.305497,12.03926891,18.95090493,7.879571904,16.27821777,17.13225327,10.15222168,14.43959446,16.78508185,10.31453917,6.806098343,13.54858355,8.757985529,10.14691462,7.54433585,14.74886771,8.274161622,12.12119194,10.07408461
10.88276444,5.688932624,5.422755023,5.403945641,9.583893392,13.42698412,9.700543684,10.60863888,14.10551081,10.00547157,13.15771491,14.32285649,18.78647654,13.32720697,17.26109756,11.07254082,11.59272661,12.23680789,11.33535534,10.0997365,16.20721704,13.13752618,8.494018358,15.43494849,6.807446845,7.32536747,12.99392269,9.327740219,8.959606352,6.752299443,6.549999891,7.681682311,6.0760905,10.01204692,17.32743433,11.71241298,6.684995716
